#T(K), Kl_SlackLow(W/mK), Kl_SlackSim(W/mK), Kl_CahillLow(W/mK), Cv(J/molK), S(J/molK), S_Debye(J/molK), H(eV), mpf(µm)
10.0000 0.0001 1.2531 0.0000 0.0351 0.0117 0.0120 -0.0000 13014.0820
20.0000 0.0007 0.6265 0.0002 0.2807 0.0936 0.0962 -0.0000 813.3801
30.0000 0.0023 0.4177 0.0005 0.9472 0.3157 0.3245 -0.0000 160.6677
40.0000 0.0054 0.3133 0.0013 2.2453 0.7484 0.7692 -0.0000 50.8363
50.0000 0.0106 0.2506 0.0024 4.3853 1.4618 1.5023 -0.0001 20.8225
60.0000 0.0183 0.2088 0.0042 7.5779 2.5260 2.5948 -0.0002 10.0417
70.0000 0.0291 0.1790 0.0067 12.0334 4.0111 4.1131 -0.0003 5.4203
80.0000 0.0434 0.1566 0.0099 17.9623 5.9874 6.1115 -0.0005 3.1773
90.0000 0.0617 0.1392 0.0140 24.9855 8.5001 8.6247 -0.0008 2.0304
100.0000 0.0843 0.1253 0.0189 32.9928 11.5389 11.6635 -0.0012 1.3838
110.0000 0.1115 0.1139 0.0246 41.7984 15.0911 15.2157 -0.0017 0.9930
120.0000 0.1436 0.1044 0.0311 51.1411 19.1256 19.2502 -0.0024 0.7440
130.0000 0.1807 0.0964 0.0383 60.7710 23.5982 23.7228 -0.0032 0.5779
140.0000 0.2229 0.0895 0.0461 70.4706 28.4570 28.5816 -0.0041 0.4628
150.0000 0.2703 0.0835 0.0544 80.0632 33.6471 33.7717 -0.0052 0.3802
160.0000 0.3228 0.0783 0.0631 89.4142 39.1144 39.2389 -0.0065 0.3191
170.0000 0.3804 0.0737 0.0722 98.4269 44.8074 44.9320 -0.0079 0.2729
180.0000 0.4432 0.0696 0.0816 107.0371 50.6791 50.8037 -0.0094 0.2370
190.0000 0.5110 0.0660 0.0912 115.2063 56.6872 56.8117 -0.0111 0.2086
200.0000 0.5838 0.0627 0.1010 122.9163 62.7945 62.9191 -0.0130 0.1857
210.0000 0.6615 0.0597 0.1110 130.1636 68.9689 69.0934 -0.0150 0.1670
220.0000 0.7441 0.0570 0.1211 136.9553 75.1826 75.3071 -0.0171 0.1515
230.0000 0.8315 0.0545 0.1312 143.3060 81.4122 81.5367 -0.0194 0.1385
240.0000 0.9237 0.0522 0.1414 149.2350 87.6379 87.7625 -0.0217 0.1275
250.0000 1.0206 0.0501 0.1517 154.7646 93.8434 93.9680 -0.0243 0.1180
260.0000 1.1222 0.0482 0.1620 159.9183 100.0150 100.1396 -0.0269 0.1098
