#T(K), Kl_SlackLow(W/mK), Kl_SlackSim(W/mK), Kl_CahillLow(W/mK), Cv(J/molK), S(J/molK), S_Debye(J/molK), H(eV), mpf(µm)
270.0000 1.2284 0.0464 0.1723 164.7205 106.1415 106.2661 -0.0296 0.1027
280.0000 1.3392 0.0448 0.1826 169.1948 112.2138 112.3384 -0.0325 0.0964
290.0000 1.4546 0.0432 0.1928 173.3646 118.2247 118.3492 -0.0355 0.0908
300.0000 1.5745 0.0418 0.2031 177.2520 124.1683 124.2929 -0.0385 0.0859
310.0000 1.6988 0.0404 0.2134 180.8779 130.0402 130.1647 -0.0417 0.0814
320.0000 1.8277 0.0392 0.2236 184.2620 135.8368 135.9614 -0.0450 0.0774
330.0000 1.9610 0.0380 0.2338 187.4227 141.5558 141.6804 -0.0483 0.0738
340.0000 2.0988 0.0369 0.2440 190.3768 147.1953 147.3199 -0.0518 0.0705
350.0000 2.2409 0.0358 0.2541 193.1402 152.7542 152.8787 -0.0553 0.0675
360.0000 2.3874 0.0348 0.2643 195.7274 158.2318 158.3563 -0.0589 0.0648
370.0000 2.5384 0.0339 0.2744 198.1517 163.6279 163.7525 -0.0627 0.0623
380.0000 2.6936 0.0330 0.2844 200.4255 168.9428 169.0674 -0.0664 0.0599
390.0000 2.8532 0.0321 0.2945 202.5599 174.1768 174.3014 -0.0703 0.0578
400.0000 3.0172 0.0313 0.3045 204.5654 179.3307 179.4553 -0.0742 0.0558
410.0000 3.1855 0.0306 0.3144 206.4514 184.4054 184.5300 -0.0783 0.0539
420.0000 3.3581 0.0298 0.3244 208.2267 189.4019 189.5265 -0.0823 0.0522
430.0000 3.5350 0.0291 0.3343 209.8993 194.3214 194.4460 -0.0865 0.0506
440.0000 3.7162 0.0285 0.3442 211.4766 199.1651 199.2897 -0.0907 0.0491
450.0000 3.9016 0.0278 0.3540 212.9652 203.9344 204.0590 -0.0950 0.0476
460.0000 4.0914 0.0272 0.3639 214.3714 208.6307 208.7553 -0.0994 0.0463
470.0000 4.2855 0.0267 0.3737 215.7009 213.2554 213.3800 -0.1038 0.0450
480.0000 4.4838 0.0261 0.3835 216.9589 217.8099 217.9345 -0.1082 0.0438
490.0000 4.6864 0.0256 0.3932 218.1503 222.2958 222.4204 -0.1128 0.0427
500.0000 4.8932 0.0251 0.4030 219.2794 226.7145 226.8391 -0.1174 0.0416
510.0000 5.1043 0.0246 0.4127 220.3505 231.0675 231.1921 -0.1220 0.0406
520.0000 5.3197 0.0241 0.4224 221.3672 235.3562 235.4808 -0.1267 0.0397
530.0000 5.5393 0.0236 0.4321 222.3331 239.5821 239.7067 -0.1315 0.0387
540.0000 5.7632 0.0232 0.4417 223.2513 243.7466 243.8712 -0.1363 0.0379
550.0000 5.9913 0.0228 0.4514 224.1250 247.8511 247.9757 -0.1412 0.0370
560.0000 6.2236 0.0224 0.4610 224.9567 251.8971 252.0216 -0.1461 0.0362
570.0000 6.4602 0.0220 0.4706 225.7492 255.8858 256.0103 -0.1510 0.0355
580.0000 6.7011 0.0216 0.4802 226.5047 259.8185 259.9431 -0.1561 0.0348
590.0000 6.9461 0.0212 0.4897 227.2254 263.6967 263.8213 -0.1611 0.0341
600.0000 7.1954 0.0209 0.4993 227.9135 267.5215 267.6461 -0.1662 0.0334
610.0000 7.4489 0.0205 0.5088 228.5708 271.2942 271.4188 -0.1714 0.0327
620.0000 7.7067 0.0202 0.5183 229.1990 275.0160 275.1406 -0.1766 0.0321
630.0000 7.9687 0.0199 0.5278 229.7999 278.6881 278.8127 -0.1818 0.0315
640.0000 8.2349 0.0196 0.5373 230.3749 282.3116 282.4362 -0.1871 0.0310
650.0000 8.5053 0.0193 0.5468 230.9255 285.8877 286.0123 -0.1925 0.0304
660.0000 8.7800 0.0190 0.5562 231.4531 289.4174 289.5420 -0.1978 0.0299
670.0000 9.0589 0.0187 0.5657 231.9588 292.9018 293.0264 -0.2033 0.0294
680.0000 9.3420 0.0184 0.5751 232.4438 296.3419 296.4664 -0.2087 0.0289
690.0000 9.6293 0.0182 0.5846 232.9092 299.7387 299.8633 -0.2142 0.0284
700.0000 9.9208 0.0179 0.5940 233.3561 303.0932 303.2178 -0.2198 0.0280
710.0000 10.2166 0.0176 0.6034 233.7854 306.4063 306.5309 -0.2253 0.0275
720.0000 10.5165 0.0174 0.6128 234.1980 309.6790 309.8036 -0.2310 0.0271
730.0000 10.8207 0.0172 0.6222 234.5948 312.9121 313.0367 -0.2366 0.0267
740.0000 11.1291 0.0169 0.6315 234.9764 316.1065 316.2311 -0.2423 0.0263
750.0000 11.4417 0.0167 0.6409 235.3438 319.2631 319.3877 -0.2480 0.0259
760.0000 11.7586 0.0165 0.6503 235.6975 322.3826 322.5072 -0.2538 0.0255
770.0000 12.0796 0.0163 0.6596 236.0382 325.4659 325.5905 -0.2596 0.0251
780.0000 12.4049 0.0161 0.6689 236.3666 328.5138 328.6383 -0.2654 0.0248
790.0000 12.7343 0.0159 0.6783 236.6832 331.5269 331.6514 -0.2713 0.0244
800.0000 13.0680 0.0157 0.6876 236.9885 334.5060 334.6305 -0.2772 0.0241
810.0000 13.4059 0.0155 0.6969 237.2832 337.4518 337.5764 -0.2831 0.0238
820.0000 13.7480 0.0153 0.7062 237.5677 340.3650 340.4896 -0.2891 0.0234
830.0000 14.0943 0.0151 0.7155 237.8423 343.2464 343.3709 -0.2951 0.0231
840.0000 14.4448 0.0149 0.7248 238.1077 346.0964 346.2210 -0.3012 0.0228
850.0000 14.7996 0.0147 0.7341 238.3642 348.9158 349.0404 -0.3072 0.0225
860.0000 15.1585 0.0146 0.7434 238.6121 351.7052 351.8297 -0.3133 0.0222
870.0000 15.5217 0.0144 0.7526 238.8519 354.4651 354.5897 -0.3195 0.0220
880.0000 15.8890 0.0142 0.7619 239.0839 357.1962 357.3208 -0.3256 0.0217
890.0000 16.2606 0.0141 0.7712 239.3084 359.8990 360.0236 -0.3318 0.0214
900.0000 16.6364 0.0139 0.7804 239.5258 362.5741 362.6987 -0.3381 0.0212
910.0000 17.0163 0.0138 0.7897 239.7363 365.2220 365.3466 -0.3443 0.0209
920.0000 17.4005 0.0136 0.7989 239.9402 367.8432 367.9678 -0.3506 0.0207
930.0000 17.7889 0.0135 0.8081 240.1378 370.4382 370.5628 -0.3569 0.0204
940.0000 18.1815 0.0133 0.8174 240.3294 373.0076 373.1322 -0.3633 0.0202
950.0000 18.5783 0.0132 0.8266 240.5151 375.5518 375.6764 -0.3696 0.0200
960.0000 18.9793 0.0131 0.8358 240.6953 378.0712 378.1958 -0.3760 0.0198
970.0000 19.3846 0.0129 0.8450 240.8701 380.5664 380.6910 -0.3825 0.0195
980.0000 19.7940 0.0128 0.8542 241.0398 383.0378 383.1624 -0.3889 0.0193
990.0000 20.2076 0.0127 0.8635 241.2045 385.4858 385.6103 -0.3954 0.0191
1000.0000 20.6254 0.0125 0.8727 241.3645 387.9107 388.0353 -0.4019 0.0189
1010.0000 21.0475 0.0124 0.8819 241.5199 390.3132 390.4378 -0.4084 0.0187
1020.0000 21.4737 0.0123 0.8910 241.6708 392.6935 392.8180 -0.4150 0.0185
1030.0000 21.9042 0.0122 0.9002 241.8175 395.0520 395.1765 -0.4216 0.0183
1040.0000 22.3388 0.0120 0.9094 241.9602 397.3891 397.5136 -0.4282 0.0181
1050.0000 22.7777 0.0119 0.9186 242.0989 399.7052 399.8297 -0.4348 0.0180
1060.0000 23.2208 0.0118 0.9278 242.2337 402.0006 402.1252 -0.4415 0.0178
1070.0000 23.6680 0.0117 0.9370 242.3650 404.2757 404.4003 -0.4482 0.0176
1080.0000 24.1195 0.0116 0.9461 242.4927 406.5309 406.6555 -0.4549 0.0174
1090.0000 24.5752 0.0115 0.9553 242.6169 408.7664 408.8910 -0.4616 0.0173
1100.0000 25.0350 0.0114 0.9645 242.7380 410.9827 411.1073 -0.4684 0.0171
1110.0000 25.4991 0.0113 0.9736 242.8558 413.1800 413.3045 -0.4752 0.0169
1120.0000 25.9674 0.0112 0.9828 242.9705 415.3586 415.4831 -0.4820 0.0168
1130.0000 26.4399 0.0111 0.9919 243.0824 417.5188 417.6434 -0.4888 0.0166
1140.0000 26.9166 0.0110 1.0011 243.1913 419.6610 419.7856 -0.4957 0.0165
1150.0000 27.3975 0.0109 1.0102 243.2975 421.7854 421.9100 -0.5026 0.0163
1160.0000 27.8826 0.0108 1.0194 243.4010 423.8924 424.0169 -0.5095 0.0162
1170.0000 28.3719 0.0107 1.0285 243.5019 425.9821 426.1067 -0.5164 0.0160
1180.0000 28.8654 0.0106 1.0377 243.6004 428.0549 428.1794 -0.5234 0.0159
1190.0000 29.3631 0.0105 1.0468 243.6964 430.1110 430.2356 -0.5303 0.0157
1200.0000 29.8650 0.0104 1.0559 243.7901 432.1507 432.2753 -0.5373 0.0156
1210.0000 30.3711 0.0104 1.0651 243.8815 434.1742 434.2988 -0.5443 0.0155
1220.0000 30.8815 0.0103 1.0742 243.9707 436.1819 436.3065 -0.5514 0.0153
1230.0000 31.3960 0.0102 1.0833 244.0578 438.1738 438.2984 -0.5584 0.0152
1240.0000 31.9147 0.0101 1.0924 244.1429 440.1504 440.2750 -0.5655 0.0151
1250.0000 32.4376 0.0100 1.1016 244.2259 442.1117 442.2363 -0.5726 0.0150
1260.0000 32.9647 0.0099 1.1107 244.3070 444.0581 444.1826 -0.5798 0.0148
1270.0000 33.4961 0.0099 1.1198 244.3863 445.9897 446.1142 -0.5869 0.0147
1280.0000 34.0316 0.0098 1.1289 244.4637 447.9067 448.0313 -0.5941 0.0146
1290.0000 34.5713 0.0097 1.1380 244.5394 449.8095 449.9341 -0.6013 0.0145
1300.0000 35.1153 0.0096 1.1471 244.6134 451.6981 451.8227 -0.6085 0.0144
1310.0000 35.6634 0.0096 1.1562 244.6857 453.5728 453.6974 -0.6157 0.0142
1320.0000 36.2158 0.0095 1.1654 244.7564 455.4338 455.5584 -0.6229 0.0141
1330.0000 36.7723 0.0094 1.1745 244.8255 457.2813 457.4059 -0.6302 0.0140
1340.0000 37.3331 0.0094 1.1836 244.8932 459.1155 459.2401 -0.6375 0.0139
1350.0000 37.8980 0.0093 1.1927 244.9593 460.9365 461.0611 -0.6448 0.0138
1360.0000 38.4672 0.0092 1.2018 245.0241 462.7446 462.8692 -0.6521 0.0137
1370.0000 39.0405 0.0091 1.2109 245.0874 464.5399 464.6644 -0.6595 0.0136
1380.0000 39.6181 0.0091 1.2200 245.1494 466.3226 466.4471 -0.6668 0.0135
1390.0000 40.1998 0.0090 1.2290 245.2101 468.0928 468.2174 -0.6742 0.0134
1400.0000 40.7858 0.0090 1.2381 245.2695 469.8508 469.9754 -0.6816 0.0133
1410.0000 41.3759 0.0089 1.2472 245.3276 471.5967 471.7213 -0.6890 0.0132
1420.0000 41.9703 0.0088 1.2563 245.3846 473.3307 473.4553 -0.6965 0.0131
1430.0000 42.5689 0.0088 1.2654 245.4404 475.0529 475.1775 -0.7039 0.0130
1440.0000 43.1716 0.0087 1.2745 245.4950 476.7635 476.8881 -0.7114 0.0129
1450.0000 43.7786 0.0086 1.2836 245.5486 478.4626 478.5872 -0.7189 0.0128
1460.0000 44.3898 0.0086 1.2927 245.6010 480.1504 480.2750 -0.7264 0.0127
1470.0000 45.0051 0.0085 1.3017 245.6524 481.8270 481.9516 -0.7340 0.0126
1480.0000 45.6247 0.0085 1.3108 245.7028 483.4927 483.6172 -0.7415 0.0126
1490.0000 46.2485 0.0084 1.3199 245.7522 485.1474 485.2720 -0.7491 0.0125
1500.0000 46.8765 0.0084 1.3290 245.8006 486.7914 486.9160 -0.7567 0.0124
1510.0000 47.5086 0.0083 1.3380 245.8481 488.4248 488.5494 -0.7643 0.0123
1520.0000 48.1450 0.0082 1.3471 245.8946 490.0477 490.1723 -0.7719 0.0122
1530.0000 48.7856 0.0082 1.3562 245.9403 491.6603 491.7849 -0.7795 0.0121
1540.0000 49.4304 0.0081 1.3653 245.9851 493.2627 493.3872 -0.7872 0.0121
1550.0000 50.0794 0.0081 1.3743 246.0290 494.8549 494.9795 -0.7948 0.0120
1560.0000 50.7326 0.0080 1.3834 246.0721 496.4373 496.5618 -0.8025 0.0119
1570.0000 51.3899 0.0080 1.3925 246.1144 498.0098 498.1343 -0.8102 0.0118
1580.0000 52.0515 0.0079 1.4015 246.1559 499.5725 499.6971 -0.8180 0.0117
1590.0000 52.7173 0.0079 1.4106 246.1966 501.1257 501.2503 -0.8257 0.0117
1600.0000 53.3873 0.0078 1.4197 246.2366 502.6694 502.7939 -0.8334 0.0116
1610.0000 54.0615 0.0078 1.4287 246.2758 504.2037 504.3283 -0.8412 0.0115
1620.0000 54.7399 0.0077 1.4378 246.3143 505.7287 505.8533 -0.8490 0.0114
1630.0000 55.4225 0.0077 1.4468 246.3521 507.2446 507.3692 -0.8568 0.0114
1640.0000 56.1093 0.0076 1.4559 246.3893 508.7515 508.8761 -0.8646 0.0113
1650.0000 56.8003 0.0076 1.4650 246.4257 510.2494 510.3740 -0.8725 0.0112
1660.0000 57.4955 0.0075 1.4740 246.4616 511.7385 511.8631 -0.8803 0.0112
1670.0000 58.1949 0.0075 1.4831 246.4968 513.2189 513.3434 -0.8882 0.0111
1680.0000 58.8985 0.0075 1.4921 246.5313 514.6906 514.8152 -0.8961 0.0110
1690.0000 59.6063 0.0074 1.5012 246.5653 516.1538 516.2784 -0.9040 0.0110
1700.0000 60.3183 0.0074 1.5102 246.5987 517.6086 517.7331 -0.9119 0.0109
1710.0000 61.0345 0.0073 1.5193 246.6315 519.0550 519.1796 -0.9198 0.0108
1720.0000 61.7549 0.0073 1.5283 246.6637 520.4932 520.6177 -0.9277 0.0108
1730.0000 62.4795 0.0072 1.5374 246.6954 521.9232 522.0478 -0.9357 0.0107
1740.0000 63.2083 0.0072 1.5464 246.7265 523.3452 523.4697 -0.9437 0.0106
1750.0000 63.9413 0.0072 1.5555 246.7571 524.7592 524.8837 -0.9517 0.0106
1760.0000 64.6785 0.0071 1.5645 246.7872 526.1653 526.2899 -0.9597 0.0105
1770.0000 65.4199 0.0071 1.5736 246.8168 527.5636 527.6882 -0.9677 0.0105
1780.0000 66.1656 0.0070 1.5826 246.8459 528.9542 529.0788 -0.9757 0.0104
1790.0000 66.9154 0.0070 1.5917 246.8746 530.3372 530.4617 -0.9838 0.0103
1800.0000 67.6694 0.0070 1.6007 246.9027 531.7126 531.8372 -0.9918 0.0103
1810.0000 68.4276 0.0069 1.6098 246.9304 533.0806 533.2051 -0.9999 0.0102
1820.0000 69.1900 0.0069 1.6188 246.9577 534.4411 534.5657 -1.0080 0.0102
1830.0000 69.9566 0.0068 1.6278 246.9845 535.7944 535.9190 -1.0161 0.0101
1840.0000 70.7275 0.0068 1.6369 247.0108 537.1405 537.2650 -1.0242 0.0100
1850.0000 71.5025 0.0068 1.6459 247.0368 538.4793 538.6039 -1.0324 0.0100
1860.0000 72.2817 0.0067 1.6550 247.0623 539.8111 539.9357 -1.0405 0.0099
1870.0000 73.0651 0.0067 1.6640 247.0874 541.1359 541.2605 -1.0487 0.0099
1880.0000 73.8527 0.0067 1.6730 247.1122 542.4538 542.5784 -1.0569 0.0098
1890.0000 74.6446 0.0066 1.6821 247.1365 543.7648 543.8894 -1.0651 0.0098
1900.0000 75.4406 0.0066 1.6911 247.1605 545.0690 545.1936 -1.0733 0.0097
1910.0000 76.2408 0.0066 1.7001 247.1840 546.3665 546.4911 -1.0815 0.0097
1920.0000 77.0452 0.0065 1.7092 247.2073 547.6574 547.7819 -1.0897 0.0096
1930.0000 77.8539 0.0065 1.7182 247.2301 548.9416 549.0662 -1.0980 0.0096
1940.0000 78.6667 0.0065 1.7272 247.2527 550.2194 550.3439 -1.1062 0.0095
1950.0000 79.4837 0.0064 1.7363 247.2748 551.4906 551.6152 -1.1145 0.0095
1960.0000 80.3050 0.0064 1.7453 247.2967 552.7555 552.8801 -1.1228 0.0094
1970.0000 81.1304 0.0064 1.7543 247.3182 554.0141 554.1387 -1.1311 0.0094
1980.0000 81.9600 0.0063 1.7634 247.3394 555.2664 555.3910 -1.1394 0.0093
1990.0000 82.7939 0.0063 1.7724 247.3602 556.5125 556.6371 -1.1477 0.0093
2000.0000 83.6319 0.0063 1.7814 247.3808 557.7525 557.8770 -1.1560 0.0092
